ZONA,NOMBRE,DIRECCION,TELEFONO,IMAGEN_SUCURSAL,AREA_INTERNA,REGION_OPERATIVA,USO_DESTINO,METROS_CUADRADOS
NORTE,"CDD San Miguel","Belgrano Nº 1374",4664-7962,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZPWub2nJ8CUWyEcbIua0lw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=311.23642&pitch=0&thumbfov=100,A2,Metro,"CDD",343
NORTE,"CDD San Martin","Intendente Campos 1951",4713-7129,SUC_Images/118.IMAGEN.001149.png,A2,Metro,"CDD / Jef. De Área",680
NORTE,"CDD San Isidro","Alsina 98/102",4732-2022/1806,https://lh5.googleusercontent.com/p/AF1QipPEQNz0XIzLXU1IGHIb5PbsXTEcvK7BLfiVooA_=w408-h544-k-no,A1,Metro,"CDD / Jef. De Área",318
NORTE,"CDD San Fernando","Av. Juan Domingo Perón Nº 724",4890-1731/1732,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=skSeLQuUHjs4YTdd3XlSJw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.767384&pitch=0&thumbfov=100,A1,Metro,"CDD",426
NORTE,"CDD Pilar","Av. Tomás Márquez 1294, Pilar Centro, Provincia de Buenos Aires",(02304)426240/420400,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qrdd_qWbEdjN8pCxJcD_DQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.97855&pitch=0&thumbfov=100,,,"",
NORTE,"CDD Manuel Alberti","Hipólito Yrigoyen 651-699, B1664 Manuel Alberti, Provincia de Buenos Aires",02320-491500/627670,https://maps.gstatic.com/tactile/pane/default_geocode-2x.png,,,"",
NORTE,"CDD Los Polvorines","Rivadavia 2645",4660-5070/4660-0276,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YSN_YCFOhj-pgrPVf4jf3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.61398&pitch=0&thumbfov=100,A1,Metro,"CDD",187
NORTE,"CDD J. C. Paz","Roque Sáenz Peña no 5009, José C. Paz, Provincia de Buenos Aires",02320-422798,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gqiAYJ30mWvbala4Wi3aRA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.6145&pitch=0&thumbfov=100,,,"",
NORTE,"Cdd Ing. Maschwitz","La Plata 1125, B1623 ESW, Provincia de Buenos Aires",03484-629807,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QKMkpHNGjw6XYFpnVDcYOg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=65.69051&pitch=0&thumbfov=100,,,"",
NORTE,"CDD Gral. Pacheco","Avenida Hipólito Yrigoyen no 214, General Pacheco, Provincia de Buenos Aires",4740-5695,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fBg9Ui9PtI5Lj5chGHeevw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.10641&pitch=0&thumbfov=100,,,"",
NORTE,"Cdd Escobar","Rivadavia 302, B1625 Belén de Escobar, Provincia de Buenos Aires",03484-420051/429309,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pWLDYWj0o3v5A_shQ9HNRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=237.99487&pitch=0&thumbfov=100,,,"",
NORTE,"CDD Don Torcuato","Av. Alvear Nº 1656 (Ruta 202)",4519-6483,SUC_Images/139.IMAGEN.003223.png,A1,Metro,"CDD / SUC",220
NORTE,"Cdd Campana","San Martín 274, B2804 Campana, Provincia de Buenos Aires",(03489)438331,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m-PKN82ZLaVi34XTPRPGTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.79955&pitch=0&thumbfov=100,,,"",
NORTE,"Caseros","Av. Urquiza Nº 4826",4750-1090,SUC_Images/111.IMAGEN.000108.png,Z5,Metro,"Sucursal",190
NORTE,"Campana","San Martín 274, B2804 Campana, Provincia de Buenos Aires",,https://lh5.googleusercontent.com/p/AF1QipM_d1zniOm79TYV6TGDjNyVlxv7ByzCtTJ0fM6m=w426-h240-k-no,,,"",
NORTE,"Boulogne","Av. Rolon Nº 2384",4766-4202,SUC_Images/93.IMAGEN.194943.png,Z4,Metro,"Sucursal",88
NORTE,"Benavidez","Av. Benavidez 2680",03327-481940,https://lh5.googleusercontent.com/p/AF1QipN3YJFsOa3gSJDZuCzEjnTivvqlYIasWcfSLiTt=w408-h725-k-no,Z4,Metro,"Agencia",58
NORTE,"Bella Vista","Senador Morón Nº 1090",4666-0050,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QgTdA31bpI8LTZNQuyP9gA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.3001&pitch=0&thumbfov=100,Z5,Metro,"Sucursal",198
NORTE,"Acassuso","Av. Santa Fe Nº 766",4732-3764,https://lh5.googleusercontent.com/p/AF1QipPRBMziAmXm1KRIgn-i7rvzqfJmGOcZoWaKvgbu=w408-h306-k-no,Z4,Metro,"Sucursal",77
OESTE,"Villa Madero","Mariquita Thompson Nº 10",4652-3054,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LKZQ84HoSsKy53Y-FjBGNA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=25.121866&pitch=0&thumbfov=100,Z6,Metro,"Sucursal",80
OESTE,"Villa Bosch","Santos Vega Nº 6121",4844-9548,SUC_Images/124.IMAGEN.001557.png,Z5,Metro,"Sucursal",49
OESTE,"Tapiales","Humaitá Nº 1156",4442-3883,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lBmEbdtWG4E5vDjBmXQADQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=99.66535&pitch=0&thumbfov=100,A4,Metro,"CDD",384
OESTE,"Santos Tesei","Av. Pedro Díaz Nº 444 U.F. N° 2",4459-4586,https://lh5.googleusercontent.com/p/AF1QipPbNcij9fB_5hEKq7wDmeiO9n2nsivDuIjPxSH4=w408-h597-k-no,Z5,Metro,"Sucursal",80
OESTE,"San Justo","Almafuerte 3171/79",4484-6803,https://lh5.googleusercontent.com/p/AF1QipND-sedo6PM6xgMCiOtrywX6-aJ6fDEU_CqIikT=w408-h306-k-no,A4,Metro,"CDD",346
OESTE,"San Antonio De Padua","Directorio Nº 202",0220-4837685,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EQXLxoQO5c5nGEguYZ6vdw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.07524&pitch=0&thumbfov=100,Z6,Metro,"Sucursal",230
OESTE,"Ramos Mejia","Av. Rivadavia 14178",4469-2703,SUC_Images/163.IMAGEN.005842.png,A4,Metro,"CDD",320
OESTE,"Rafael Castillo","Santa Cruz Nº 1071",4697-8142,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ix-3ERHk_0YCt6OuK8ZRHQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=9.9855585&pitch=0&thumbfov=100,Z6,Metro,"Sucursal",74
OESTE,"Paso Del Rey","Av. Salvador Maria Del Carril Nº 52",0237-4622491,https://lh5.googleusercontent.com/p/AF1QipOy_7rzgToUY6Yp6SVam7kl0GscUyYuMFm_d_jt=w408-h503-k-no,Z6,Metro,"Sucursal",79
OESTE,"Morón","Belgrano Nº 252",1167045400,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=clYDx1qZkQnSuYemlO5Ctg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=92.180855&pitch=0&thumbfov=100,Z6,Metro,"Sucursal",500
OESTE,"Moreno","Maipú 76/86",0237-4639703,https://lh5.googleusercontent.com/p/AF1QipMHXci7JF1QAD8Sp1DSY3_K52f5w9JYGdEPaxU2=w408-h306-k-no,A2,Metro,"CDD",550
OESTE,"Merlo","Av. Libertador 556",0220-4851679,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=whu_ZLx0juXJQzSpoHukcg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.47855&pitch=0&thumbfov=100,A2,Metro,"CDD",437
OESTE,"Mercado Central","RICCHERI Y B. SUR MER",4462-4042,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mEtZXrnxrVUPU0tP2HdqaQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=42.920662&pitch=0&thumbfov=100,SUR,Metro,"Operaciones",21600
OESTE,"Lomas Del Mirador","Juan M. Rosas Nº 699",4699-3751,https://lh5.googleusercontent.com/p/AF1QipNsoxITIFRKt3p-DaBcqeeNMPuzuYTjr6SBMC0s=w426-h240-k-no,Z6,Metro,"Sucursal",200
OESTE,"Libertad","Juan B. Justo Nº 2670",0220-4947347,https://lh5.googleusercontent.com/p/AF1QipOp65Evb_xnwvm9svjn81eiAf3402XSK3GyDaJu=w408-h306-k-no,Z6,Metro,"Sucursal",150
OESTE,"Laferrere","Coronel Montt Nº 3951",4626-7913,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RHzZypMdPRZpjggHVsM--Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=69.7754&pitch=0&thumbfov=100,A4,Metro,"CDD",616
OESTE,"La Tablada","Av. Crovara Nº 3035",4454-8821,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tVzbaGmsc4CYCS7oCrVoEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=327.75244&pitch=0&thumbfov=100,Z6,Metro,"Sucursal",154
OESTE,"Ituzaingo","Olazábal Nº 728",4623-0588,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bAg09XUtoK8GRxp6J0wB_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=189.38211&pitch=0&thumbfov=100,A2,Metro,"CDD",250
OESTE,"I. Casanova","Av. Brig. Gral. Juan Manuel de Rosas 6801, B1765AAD La Matanza, Provincia de Buenos Aires",4625-0988,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jne_yVrPqcIXjQ_QKo-HBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=306.0837&pitch=0&thumbfov=100,,,"",
OESTE,"Haedo","Av. Rivadavia Nº 16380",4650-7468,https://lh5.googleusercontent.com/p/AF1QipNM9OXvZeweHwVyBIxxBRFiq7E-_gdxGMjjWrKw=w408-h306-k-no,Z6,Metro,"Sucursal",100
OESTE,"Gonzalez Catán","Barragán 4167",02202-431468,SUC_Images/149.IMAGEN.004802.png,A4,Metro,"CDD",260
OESTE,"El Palomar","Rosetti N° 736",4751-3196,https://lh5.googleusercontent.com/p/AF1QipMcaokdcCLvcERO3pnFGpTTUYYyhPsEhBhlKb7o=w408-h306-k-no,A2,Metro,"CDD",561
OESTE,"Ciudadela","Av. Rivadavia Nº 12580",4653-6815,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cef0NUo5rnNtLV9_VbRMzg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.08916&pitch=0&thumbfov=100,Z6,Metro,"Sucursal",200
OESTE,"Ciudad Evita","Av. Güemes Nº 4155",4487 1489,https://lh5.googleusercontent.com/p/AF1QipPWII2pUemYiplBNeMsM5k2x1CayKO89WbRJvu6=w408-h306-k-no,Z6,Metro,"Sucursal",100
OESTE,"CDP Morón/Entre Rios 1036/56","Entre Ríos 1098, B1708DRO Morón, Provincia de Buenos Aires",,https://lh5.googleusercontent.com/p/AF1QipNB_6U9JXhyhpq_ze47uuj1AVfYTZnVQjEvEd7a=w480-h240-k-no,,,"",
OESTE,"CDD Tapiales","Humaitá Nº 1156",,SUC_Images/171.IMAGEN.134646.jpg,A4,Metro,"CDD",384
OESTE,"CDD San Justo","Almafuerte 3171/79",4751-0632/4758-0332,https://lh5.googleusercontent.com/p/AF1QipND-sedo6PM6xgMCiOtrywX6-aJ6fDEU_CqIikT=w408-h306-k-no,A4,Metro,"CDD",346
OESTE,"CDD Ramos Mejia","Av. Rivadavia 14178",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LpASo17n_LbiSOMFDBUz_A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=180.29376&pitch=0&thumbfov=100,A4,Metro,"CDD",320
OESTE,"CDD Morón","Belgrano Nº 252",1167045400,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XTLs7xW8AKbn_6tXGOALqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=337.12897&pitch=0&thumbfov=100,Z6,Metro,"Sucursal",500
OESTE,"CDD Moreno","Maipú 76/86",0237-4664392/4625701,https://lh5.googleusercontent.com/p/AF1QipNil2P6UIekPoDk1qYg6EAYGyFDYmJ4UhhIivvv=w408-h306-k-no,A2,Metro,"CDD",550
OESTE,"CDD Merlo","Av. Libertador 556",0220-4830001/4837525,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=whu_ZLx0juXJQzSpoHukcg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.47855&pitch=0&thumbfov=100,A2,Metro,"CDD",437
OESTE,"CDD Laferrere","Coronel Montt Nº 3951",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VwJ7EJgK9zRIn2cUeGOtOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=229.3871&pitch=0&thumbfov=100,A4,Metro,"CDD",616
OESTE,"CDD Ituzaingo","Olazábal Nº 728",4624-2335 (fax)/ 4623-4630,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bAg09XUtoK8GRxp6J0wB_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=189.38211&pitch=0&thumbfov=100,A2,Metro,"CDD",250
OESTE,"CDD Hurlingham","Av. Vergara Nº 3443",4665-0915,SUC_Images/171.IMAGEN.115226.png,A2,Metro,"CDD",319
OESTE,"CDD Gonzalez Catán","Barragán 4167",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DMJ0Z9X5GBZ5ev5BOs8jfw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.20181&pitch=0&thumbfov=100,A4,Metro,"CDD",260
OESTE,"CDD El Palomar","Rosetti N° 736",4751-0632/4758-0332,SUC_Images/170.IMAGEN.115512.png,A2,Metro,"CDD",561
OESTE,"Castelar","Martin Irigoyen Nº 484",4627-4936,https://lh5.googleusercontent.com/p/AF1QipPu_cZpFd9o3hx5JbVJE9LO9U2OQcIV3tkvfyrZ=w408-h306-k-no,Z6,Metro,"Sucursal",237
OESTE,"Agencia Villa Celina","Rivera Nº 2407",,SUC_Images/173.IMAGEN.112545.png,Z6,Metro,"Agencia",28
OESTE,"Agencia Fco. Alvarez","Diario la Nacion 2052, B1746 Francisco Alvarez, Provincia de Buenos Aires",,https://lh5.googleusercontent.com/p/AF1QipODCsca5gDnVgcxQPSTpjLA82Za2sag46Ttqlss=w408-h725-k-no,,,"",
OESTE,"CDP Mercado Central","RICCHERI Y B. SUR MER",,,SUR,Metro,"Operaciones",21600
OESTE,"Moreno Easy CDP CDD","Colectora Sur Acceso Oeste y, B1744 Paso del Rey, Provincia de Buenos Aires",,,,,"",
OTRAS,"OTRAS","",,,,,"",
SUR,"Wilde","Bragado Nº 6185",4207-9302,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=c7yPldFmD0P5P0qC5zGq_A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=241.04497&pitch=0&thumbfov=100,Z8,Metro,"Sucursal",
SUR,"Villa Porvenir","Av. Galicia 635, B1868 Piñeyro, Provincia de Buenos Aires",4218-1593,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cg9RuDPuFIGJ-nWZhgin1Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=57.57894&pitch=0&thumbfov=100,,,"",
SUR,"Villa Industriales","Cnel. D Elia 1638, B1824 Lanús, Provincia de Buenos Aires",4262-5793,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FrSkDHKrYiaratYECVAoXQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=251.30986&pitch=0&thumbfov=100,,,"",
SUR,"Villa Dominico","Av. Bartolomé Mitre Nº 3313",4204-2963,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YjMJjyUOAzWdxbPryVhYiw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=229.90875&pitch=0&thumbfov=100,Z8,Metro,"Sucursal",
SUR,"V. Alsina","Juan Farrell 664, B1822 Valentín Alsina, Provincia de Buenos Aires",4208-5507,https://lh5.googleusercontent.com/p/AF1QipMtDQTj84Ef0F9RYbl47UQ7s4jHFC9m3W2NjnS_=w426-h240-k-no,,,"",
SUR,"Turdera","Antártida Argentina Nº 45",4231-2854,https://lh5.googleusercontent.com/p/AF1QipObwQAaBuK6qauepKIKA2TYj0UbBJTnY70AIABb=w426-h240-k-no,Z7,Metro,"Sucursal",90
SUR,"Tristan Suarez","Dr. Manuel Belgrano Nº 92",4976-0027,https://lh5.googleusercontent.com/p/AF1QipOQXy_1ox-gL7VssczHiRGfdlu57zqw3a46w3tA=w519-h240-k-no,Z7,Metro,"Agencia",42
SUR,"Temperley","Hipólito Irigoyen Nº 9720",4292-8960,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dPYdFqlV9_uckv32dh_QCQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=39.45849&pitch=0&thumbfov=100,A4,Metro,"CDD",262
SUR,"Sarandi","Av. Mitre Nº 1899",4204-7186,https://lh3.googleusercontent.com/proxy/LC9dYUEKjgBcpDGsx9JQ_No1y0-QFYOFUz0aGyVvD1In8VXkFWOyMDcpUsHWh2rBu1Tmpm0GziI7UKgu3O8Dt5QUGaRgG9aixQ8T8tsLfzOzvIy2qmbgp6UyzpAJcbpoSLk7u7aoAJggCNV5BvmdbC4sHKlLtmPPKxUpsoUIpIM6=w408-h306-k-no,Z8,Metro,"Sucursal",
SUR,"San Fco. Solano","897 4115, B1881 San Francisco Solano, Provincia de Buenos Aires",4271-0363,https://lh5.googleusercontent.com/p/AF1QipNkJjxF5oiN0UapNcIRvcdPeUScYZwPc1eOcUZ9=w408-h306-k-no,,,"",
SUR,"Remedios De Escalada","Av. Hipólito Yrigoyen Nº 6133",4202-3412,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y62mifOMfuvRsHSntHYjfQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=286.86484&pitch=0&thumbfov=100,Z7,Metro,"Sucursal",189
SUR,"Ranelagh","Calle 362 n°580",4223-1419,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ciAKm3vcZ4wCcrC0ZwNNAA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.76393&pitch=0&thumbfov=100,Z8,Metro,"Sucursal",
SUR,"Rafael Calzada","Colon Nº 3395",4236-0414,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=daL-teN78sy-nJNk6jwkZQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=334.7885&pitch=0&thumbfov=100,Z8,Metro,"Sucursal",
SUR,"Quilmes Oeste","12 De Octubre Nº 1964",4200-8590,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ls-HueppvZVp4L7L6M8QyQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.50305&pitch=0&thumbfov=100,Z8,Metro,"Sucursal",
SUR,"Quilmes","H. Yrigoyen Nº 405",4224-0850,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AiUcTmI6IQkpELBv6W3OmA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=234.61525&pitch=0&thumbfov=100,Z8,Metro,"Sucursal",
SUR,"Monte Grande","Vicente López Nº 448",4296-7169,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E3VHyHOigf70OGrcE0sE3w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=40.42199&pitch=0&thumbfov=100,A4,Metro,"CDD",153
SUR,"Monte Chingolo","Centenario Uruguayo Nº 1471",4220-3528,SUC_Images/206.IMAGEN.015109.png,Z8,Metro,"Sucursal",
SUR,"Luis Guillon","Bvard. Buenos Aires Nº 1758",4281-2980,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Pp2Xc5KITqYq9hqck7lgBA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=326.51862&pitch=0&thumbfov=100,Z7,Metro,"Sucursal",80
SUR,"Longchamps","Dr, Manuel Belgrano 1453, B1854 Longchamps, Provincia de Buenos Aires",4233-5037,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yeR42ZSkhhvv2dxUhwoyRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.64496&pitch=0&thumbfov=100,A3,Metro,"CDD /SUC",80
SUR,"Lomas De Zamora","Alem 300",4243-0625,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y5qQfX_mcizHbti-rp6IeA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.54352&pitch=0&thumbfov=100,Z7,Metro,"Sucursal",155
SUR,"Llavallol","A. Argentina 1620",4298-1969,https://lh6.googleusercontent.com/proxy/z341AXq6_N_YDB_yH7lz0XzmHv_pw3eeM2HfpE7hrREYNCmnEB218GLktbg0Yw42cW-haFQ5ZYm1PhMuxYC_Do22j8qIQuqpjR-2vToFOcEL3rGvRHXnNYjVDgUzdKIdGt1W629_sRDi_Tlx-JhdXwh_WYJByY-K8cWtEUr0MGmO=w408-h306-k-no,Z7,Metro,"Sucursal",190
SUR,"Lanús","Vélez Sarsfield Nº 1371",4241-2208,https://lh5.googleusercontent.com/p/AF1QipMU7JAXL0Fmm554JAzyGmKWd1Yg8S8u2bDTfHjz=w408-h725-k-no,A3,Metro,"CDD / Jef. De ÁREA",699
SUR,"Juan M. Gutierrez (Berazategui)","C. 455 721, B1890 Gutiérrez, Provincia de Buenos Aires",11-58367636,https://lh5.googleusercontent.com/p/AF1QipP7ZKt3CbxXTR_wJFdkRj6UOzaZX-2sSXaLkx6V=w408-h544-k-no,,,"",
SUR,"José Mármol","Bartolomé Mitre 2204",4294-4067,https://lh6.googleusercontent.com/proxy/KWNgzanf-gIhPkhRUHkF27Jfo9LlHgQ87bKpn74shcBpEXxrcZWNxh7yXIE8kBJfWh8Etk46ZeMgH8L8gRKEo6euqvspr-yFZScZSkXtwd53GTFvvcW6g-y5PkQLXqOOVrmDCe3s6AcrZVfbyYw2rGeZBEXQpu6BTTLUhmaCb1XA=w408-h306-k-no,Z7,Metro,"Sucursal",177
SUR,"Glew","Sarmiento Nº 50",02224-434059,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-B3SykaoAuiEVkIwQg2t_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=139.06609&pitch=0&thumbfov=100,Z7,Metro,"Agencia",41
SUR,"Gerli","Av. Hipólito Yrigoyen 2317",4208-6982,SUC_Images/205.IMAGEN.014820.png,Z8,Metro,"Sucursal",
SUR,"Florencio Varela","Av. San Martín Nº 3041/45",4237-2120,https://lh5.googleusercontent.com/p/AF1QipOhvlv_exmMJ1nHMi0jBs2I2c1CGtSYo2kyiKQC=w426-h240-k-no,A3,Metro,"CDD",280
SUR,"Ezpeleta","Chile Nº 379 Local 2",4216-5457,https://lh3.googleusercontent.com/proxy/v3HSTY2Jxnet_BnmK067uW06wP1nPqsaO13TPZivwEpzvVe-aum-je8GnWZoWE8mdU0fh4Gy3scMVgrNK-JhA1-xrApghCAvdy7QRKP09wteQr8CAFNieegpHiG7S1u31imhvPgwVGX8u62v4nqsA9RUI70Pmwxb8TsYWDB6ryfz=w408-h306-k-no,Z8,Metro,"Sucursal",90
SUR,"Ezeiza","French N° 198",4232-9297,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ML8pmZyj6X2hFuJ9eZzDoA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=231.9788&pitch=0&thumbfov=100,A4,Metro,"CDD",157
SUR,"El Pato (Florencio Varela)","Av. San Martín Nº 3041/45",02229-491520,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Sd6OntzU9NmlRpKqPFjpvA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=153.20627&pitch=0&thumbfov=100,A3,Metro,"CDD",280
SUR,"El Jaguel","Av. Dardo Rocha 2556, El Jagüel, Provincia de Buenos Aires",,,,,"",
SUR,"Dock Sud","Virrey J.J. de Vertiz Nº 1043",4201-6407,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rBsqFHrwPOWcO0KH6x92rw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=197.3024&pitch=0&thumbfov=100,Z8,Metro,"Sucursal",98
SUR,"Ctp Bue (Luis Guillon)","Bvard. Buenos Aires Nº 1758",6316-1470,https://lh5.googleusercontent.com/p/AF1QipNbQ2EjLTWsuXC9IVvudqxA6tqTOYH7Mt6DJrNx=w426-h240-k-no,Z7,Metro,"Sucursal",80
SUR,"Cruce Varela","Av. Cno. Gral. Belgrano 6385",4237-4262,https://lh5.googleusercontent.com/p/AF1QipMogzJcwjdZ9HNXEEePB3bw87COHBfzsOSpqFAr=w426-h240-k-no,Z8,Metro,"Sucursal",110
SUR,"EX CDP Quilmes/Av. La Plata 2327","Av. La Plata 2327, Quilmes Oeste, Provincia de Buenos Aires",541138764627,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=821pdghhQfenhSH_xTl9uw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=258.53772&pitch=0&thumbfov=100,,,"",
SUR,"CDP L. de Zamora/Av. Frias 1147","EGA, Gral. Frías 1147, B1832EGA Lomas de Zamora, Provincia de Buenos Aires",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g7AjcpIDJB5dP5keNF6iyg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=271.0082&pitch=0&thumbfov=100,,,"",
SUR,"CDP Quilmes/Martin Rodriguez 199","Martín Rodríguez 199, Quilmes, Provincia de Buenos Aires",,,,,"",
SUR,"CDD Temperley","Hipólito Irigoyen Nº 9720",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zPZms0lz2DED171jBpOd3Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.256224&pitch=0&thumbfov=100,A4,Metro,"CDD",262
SUR,"CDD San Vicente","9 de Julio 37, B1865 San Vicente, Provincia de Buenos Aires",02225-484309,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cPWYCYSYgChTdyqjbdhs0w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=234.97154&pitch=0&thumbfov=100,,,"",
SUR,"CDD Quilmes Oeste","12 De Octubre Nº 1964",4250-2420/4250-3041,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_F1EL3VlSeuJR4P-aFqX2g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=65.53763&pitch=0&thumbfov=100,Z8,Metro,"Sucursal",
SUR,"CDD Quilmes Este","Humberto Primo 336, Quilmes, Provincia de Buenos Aires",4224-2739/2753,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dZv6ai1wLHs2gVOccxoyvA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=8.439594&pitch=0&thumbfov=100,,,"",
SUR,"CDD Monte Grande","Vicente López Nº 448",,SUC_Images/244.IMAGEN.190116.png,A4,Metro,"CDD",153
SUR,"CDD Longchamps","Belgrano Dr, Manuel Belgrano 1453, B1854 Longchamps, Provincia de Buenos Aires",4297-1345,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yeR42ZSkhhvv2dxUhwoyRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.64496&pitch=0&thumbfov=100,A3,Metro,"CDD /SUC",80
