ZONA,NOMBRE,DIRECCION,TELEFONO,IMAGEN_SUCURSAL,AREA_INTERNA,REGION_OPERATIVA,USO_DESTINO,METROS_CUADRADOS
CABA,"CDD 30","Av. Monroe 3390 C1430BKN CABA",4542-2225,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YJwOSzXFJeDtEICacLkKdA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=150.18808&pitch=0&thumbfov=100,,,"",
CABA,"CDD 28","Av. Cabildo 2349, C1428AAF CABA",4783-3180,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=14A-qhUz_cYp4lQImVyGtg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=50.51719&pitch=0&thumbfov=100,,,"",
CABA,"CDD 25","",,,,,"",
CABA,"CDD 27","Virrey Arredondo 2959, C1426EAC CABA",4551-8407/7021,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B7ar8KSQqjYDD51NgC2fJw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=346.3949&pitch=0&thumbfov=100,,,"",
CABA,"CDD 24","Craig 805, C1424ACE CABA",4922-2597,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vy44fBUFbeYk5R19OOZEHw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=210.52313&pitch=0&thumbfov=100,,,"",
CABA,"CDD 23","La Rioja 1189, C1221ACM CABA*",4931-8292/6163,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PjPd-vsjds5PlI2FCQtIiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=297.5941&pitch=0&thumbfov=100,,,"",
CABA,"CDD 17","Helguera 2901, C1417CQO CABA",4504-4909/9017,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N9GcHjdJZZRlvlPklGoiVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.31091&pitch=0&thumbfov=100,,,"",
CABA,"CDD 16","Av. San Martín no 2710, Buenos Aires",4581-4107/0494/0801,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hHdUpUk0t9F7a3kt5Z3Wzw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=191.00166&pitch=0&thumbfov=100,,,"",
CABA,"CDD 13","Av. Corrientes 3702, Buenos Aires",4862-3424/4862-7787,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7iDLN9ukuGxTUEDuSsQOGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=196.8028&pitch=0&thumbfov=100,,,"",
CABA,"CDD 12","Av. Pueyrredón 1352 C1118*AAQ CABA",4821-9352/4825-2152,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yn9timrFkP1MgByJnx5ODg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=295.00632&pitch=0&thumbfov=100,,,"",
CABA,"Sarmiento 151/CABA","",,,,,"",
CABA,"Caye RETIRO","Antart. Argentina y Cdro Py",4316-1734,https://lh5.googleusercontent.com/p/AF1QipM2gQmhZSowiKsslaTrSCdUty1zUngRhMo0nKvJ=w408-h306-k-no,Z1,Metro,"ARCHIVO GENERAL",2000
CABA,"Catalinas","Av. Leandro N. Alem 616, C1001 AAO, Buenos Aires",4893-1495,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NU5oUn3_iMgUCsVIRY4wag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=283.1326&pitch=0&thumbfov=100,,,"",
CABA,"Caballito","Av. Rivadavia Nº 5337",4903-7833,SUC_Images/53.IMAGEN.184855.png,Z3,Metro,"Sucursal",144
CABA,"Belgrano","Av. Cabildo 2348",4784-2590,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=14A-qhUz_cYp4lQImVyGtg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=50.51719&pitch=0&thumbfov=100,Z1,Metro,"Sucursal",200
CABA,"Barrio Norte","Av. Pueyrredón 1352",4827-9414,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yn9timrFkP1MgByJnx5ODg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=295.00632&pitch=0&thumbfov=100,Z2,Metro,"Sucursal",500
CABA,"Barracas","Salmun Feijoo 565",4303-7279,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-JQW6PqPPGYK5L8rbrfDTA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=138.22182&pitch=0&thumbfov=100,Z3,Metro,"Sucursal",120
CABA,"Banco Nación","AAF, Bartolomé Mitre 326, C1036 Avellaneda, Buenos Aires",4331-7477,https://lh5.googleusercontent.com/p/AF1QipPFcTiAScExUVDgpCoUQU7zosQemL_wtTjwi28=w426-h240-k-no,,,"",
CABA,"Avenida De Mayo","Av. de Mayo 770, C1084 AAP, Buenos Aires",4345-4328,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nSqie0YrKSBmjDAISFyCXg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=163.1442&pitch=0&thumbfov=100,,,"",
CABA,"Almagro","Av. Medrano Nº 66",4981-1761,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k6DuYMZXxGop79Rz2N5njQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=256.99036&pitch=0&thumbfov=100,Z2,Metro,"Sucursal",405
CABA,"Aeroparque","Aeroparque Internacional Jorge Newbery, Buenos Aires",4776-5782,SUC_Images/9.IMAGEN.220254.png,,,"",
CABA,"Abasto","Av. Corrientes Nº 3702",4862-4206,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7iDLN9ukuGxTUEDuSsQOGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=196.8028&pitch=0&thumbfov=100,Z2,Metro,"Suc./RRHH/OF. JUDICIALES",1438
CABA,"Pompeya","Del Barco Centenera",,,Z3,Metro,"Sucursal",262
CABA,"Ventura de la Vega 3940/CABA","Ventura de la Vega 3940/CABA",,,,,"",
CABA,"Av. Saenz 753/CABA","",,,,,"",
CABA,"CAPITAL HUMANO","",,,,,"",
EDIFICIOS,"Sede Central Operativa Mte. Grande 2","Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires",+54 9 11 2385-1891,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,,,"",
EDIFICIOS,"Planta Tortuguitas","Tte. Gral. J.D. Perón 22",+54 9 11 5387-0716,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,Z5,Metro,"Sucursal",74
EDIFICIOS,"Planta Retiro","Av. Antártida Argentina 1100, C1104 CABA",4316-1742,SUC_Images/8.IMAGEN.024956.png,,,"",
EDIFICIOS,"Av. de los Inmigrantes 1950/1° P./Caba","Ferrocarriles Del Estado, Edificio Ferrocarriles del Estado, Av. de los Inmigrantes 1950, Buenos Aires",,,,,"",
EDIFICIOS,"Ancaste 3001/CABA","",,,,,"",
EDIFICIOS,"Edificio San Juan","Av. San Juan 1349, C1148 CABA",4957-1503,https://lh6.googleusercontent.com/proxy/_j5wVQyxbAzZAExEu-tTNIbydUsb9EBBxir9evHAHdzy4P15MU3qQ4THCZJLug2FSzw7Ejt7494yWQ2RhudQlH3ZcJaKgy_j7r8CbC-6suQgEHhtSgJRkAiQhiDvuEdJSg9qE1RxTcQfQv2xPwHyeqleS1nuLC93LRwdTCm4o8v2=w408-h306-k-no,,,"",
EDIFICIOS,"San Juan y San Jose (San Juan 1349)","Av. San Juan 1349, C1148 CABA",,,,,"",
